family,member,dataset,role,samples,patients,accuracy,sensitivity,specificity,average_score,harmonic_score,score,macro_f1,uar,auroc,predicted_adventitious_fraction
no-js,seed20260731,icbhi2017,validation_select,554,12,0.6985559566787004,0.7565543071161048,0.6445993031358885,0.7005768051259966,0.6961040896348109,0.6983404473804038,0.69827184168387,0.7005768051259966,0.7732842657479545,0.5487364620938628
no-js,ensemble,icbhi2017,validation_select,554,12,0.7166064981949458,0.7528089887640449,0.6829268292682927,0.7178679090161688,0.716167207482344,0.7170175582492564,0.7165834123516167,0.7178679090161688,0.8025421185190984,0.5270758122743683
no-js,seed20260729,icbhi2017,calibration,561,12,0.7290552584670231,0.725,0.7330960854092526,0.7290480427046263,0.7290255659283665,0.7290368043164964,0.7290475101044764,0.7290480427046263,0.7921326893746823,0.49554367201426025
no-js,seed20260730,icbhi2017,calibration,561,12,0.7379679144385026,0.7571428571428571,0.7188612099644128,0.738002033553635,0.7375055970791857,0.7377538153164104,0.7378846294430441,0.738002033553635,0.7953228266395527,0.5187165775401069
no-js,seed20260731,icbhi2017,calibration,561,12,0.7540106951871658,0.775,0.7330960854092526,0.7540480427046263,0.753465872219928,0.7537569574622771,0.7539160839160839,0.7540480427046263,0.7876842907981698,0.5204991087344029
no-js,ensemble,icbhi2017,calibration,561,12,0.732620320855615,0.7392857142857143,0.7259786476868327,0.7326321809862735,0.7325717557053267,0.7326019683458,0.7326126744452071,0.7326321809862735,0.8005338078291815,0.5062388591800356
no-js,seed20260729,icbhi2017,locked_test,2873,49,0.6787330316742082,0.6238317757009346,0.7230962869729389,0.6734640313369368,0.6698062846943621,0.6716351580156494,0.6739492378297128,0.6734640313369368,0.723021787248392,0.4319526627218935
no-js,seed20260730,icbhi2017,locked_test,2873,49,0.658893143056039,0.6440809968847352,0.670862177470107,0.657471587177421,0.6571988637443731,0.6573352254608971,0.656516133691708,0.657471587177421,0.6994002282044194,0.4698920988513749
no-js,seed20260731,icbhi2017,locked_test,2873,49,0.6306996171249565,0.6534267912772586,0.6123348017621145,0.6328807965196865,0.6322137863925037,0.6325472914560951,0.6298944910457807,0.6328807965196865,0.6706928376356923,0.5064392620953707
no-js,ensemble,icbhi2017,locked_test,2873,49,0.6641141663766098,0.6479750778816199,0.6771554436752675,0.6625652607784437,0.6622439740319689,0.6624046174052063,0.6616738622650326,0.6625652607784437,0.7139097847546116,0.46815175774451795
no-js,seed20260729,sprsound2022,validation_select,1013,36,0.912142152023692,0.8590308370044053,0.9274809160305344,0.8932558765174698,0.8919445464042692,0.8926002114608695,0.8783327687908309,0.8932558765174698,0.9692246471847642,0.24876604146100692
no-js,seed20260730,sprsound2022,validation_select,1013,36,0.9427443237907206,0.7709251101321586,0.9923664122137404,0.8816457611729496,0.8677410126823686,0.8746933869276591,0.9109982064519256,0.8816457611729496,0.9750142919595117,0.17867719644619942
no-js,seed20260731,sprsound2022,validation_select,1013,36,0.8973346495557749,0.8678414096916299,0.905852417302799,0.8868469134972145,0.8864396175260534,0.8866432655116339,0.8615509157047037,0.8868469134972145,0.9559583459438858,0.2675222112537019
no-js,ensemble,sprsound2022,validation_select,1013,36,0.9318854886475815,0.8458149779735683,0.9567430025445293,0.9012789902590488,0.8978657778219988,0.8995723840405239,0.9019084467609453,0.9012789902590488,0.9727556018876595,0.22309970384995065
no-js,seed20260729,sprsound2022,calibration,1038,36,0.9229287090558767,0.961864406779661,0.9114713216957606,0.9366678642377109,0.9359900724821614,0.9363289683599361,0.8991532957344175,0.9366678642377109,0.9858880341519084,0.28709055876685935
